Price ($),Carat,Cut,Color,Clarity,Price/Ct
990,0.73,Ideal,D,VVS2,1356
900,0.76,Very Good,E,VVS2,1184
850,0.76,Very Good,F,VS1,1118
870,0.75,Super Ideal,E,VS1,1160
680,0.74,Super Ideal,H,VS2,918
760,0.73,Ideal,G,VS1,1041
760,0.77,Very Good,H,VVS2,987
770,0.72,Ideal,G,VVS2,1069
810,0.7,Ideal,E,VS1,1157
810,0.71,Very Good,F,VVS2,1140
830,0.71,Very Good,E,VS1,1169
840,0.7,Super Ideal,F,VVS2,1200
840,0.74,Super Ideal,G,VVS2,1135
840,0.7,Ideal,E,VS1,1200
850,0.72,Ideal,E,VS1,1180
850,0.7,Super Ideal,E,VVS2,1214
850,0.72,Super Ideal,E,VS1,1180
860,0.7,Super Ideal,E,VVS2,1228
870,0.71,Ideal,E,VVS2,1225
870,0.74,Super Ideal,F,VS1,1175
880,0.73,Super Ideal,E,VVS2,1205
880,0.74,Ideal,E,VS1,1189
890,0.73,Ideal,E,VVS2,1219
890,0.7,Ideal,E,VS1,1271
900,0.77,Very Good,E,VS1,1168
900,0.7,Ideal,D,VS1,1285
910,0.79,Super Ideal,E,VS2,1151
920,0.79,Super Ideal,F,VS1,1164
930,0.78,Very Good,E,VVS2,1192
940,0.71,Super Ideal,D,VS1,1323
970,0.73,Super Ideal,D,VS1,1328
970,0.73,Ideal,D,VS1,1328
970,0.72,Ideal,D,VS1,1347
990,0.76,Super Ideal,F,VVS2,1302
1000,0.7,Ideal,D,VVS2,1428
1000,0.71,Ideal,E,VVS1,1408
1010,0.73,Ideal,D,VVS2,1383
1020,0.73,Super Ideal,E,VVS1,1397
1030,0.79,Super Ideal,E,VS1,1303
1070,0.71,Ideal,E,VVS1,1507
1080,0.72,Super Ideal,E,VVS1,1500
1080,0.72,Ideal,E,VVS1,1500
1130,0.75,Super Ideal,E,VVS1,1506
1150,0.7,Super Ideal,D,VVS1,1642
1160,0.73,Super Ideal,D,VVS1,1589
1290,0.74,Ideal,D,IF,1743
1030,0.76,Super Ideal,D,VVS2,1355
990,0.83,Super Ideal,E,VVS2,1192
790,0.71,Super Ideal,F,VS1,1112
880,0.76,Super Ideal,E,VS1,1157
920,0.81,Super Ideal,F,VVS2,1135
1010,0.79,Super Ideal,D,VS1,1278
1200,0.82,Super Ideal,D,VVS1,1463
920,0.89,Super Ideal,G,VS1,1033
660,0.7,Super Ideal,H,VS1,942
660,0.7,Super Ideal,F,SI1,942
660,0.7,Super Ideal,F,SI1,942
660,0.71,Super Ideal,I,VS1,929
670,0.7,Super Ideal,E,SI1,957
670,0.72,Ideal,E,SI2,930
670,0.71,Super Ideal,H,VS1,943
670,0.71,Super Ideal,H,VS1,943
670,0.73,Super Ideal,H,VS2,917
670,0.73,Super Ideal,G,SI1,917
670,0.7,Super Ideal,G,VS2,957
670,0.72,Super Ideal,I,VS1,930
680,0.71,Super Ideal,E,SI1,957
680,0.71,Ideal,G,VS2,957
680,0.74,Super Ideal,F,SI2,918
680,0.72,Super Ideal,F,SI1,944
680,0.71,Super Ideal,G,VS2,957
680,0.72,Very Good,F,SI1,944
680,0.72,Super Ideal,F,SI1,944
680,0.71,Super Ideal,G,VS2,957
690,0.71,Very Good,F,SI1,971
690,0.73,Super Ideal,H,VS1,945
690,0.71,Super Ideal,H,VS1,971
700,0.73,Very Good,I,VVS2,958
700,0.73,Super Ideal,G,VS2,958
700,0.73,Ideal,G,VS2,958
700,0.74,Super Ideal,F,SI1,945
700,0.7,Super Ideal,E,SI1,1000
700,0.74,Super Ideal,I,VVS2,945
710,0.75,Super Ideal,F,SI1,946
710,0.77,Super Ideal,F,SI2,922
710,0.77,Super Ideal,G,SI1,922
710,0.74,Super Ideal,G,VS2,959
720,0.76,Super Ideal,F,SI1,947
720,0.76,Super Ideal,H,VS1,947
720,0.78,Super Ideal,H,VS2,923
720,0.76,Super Ideal,H,VS2,947
720,0.78,Very Good,H,VS2,923
730,0.7,Super Ideal,G,VS1,1042
730,0.7,Super Ideal,G,VS1,1042
730,0.7,Super Ideal,F,VS2,1042
730,0.75,Very Good,G,VS2,973
730,0.71,Super Ideal,F,VS2,1028
730,0.7,Super Ideal,G,VS1,1042
730,0.7,Super Ideal,G,VS1,1042
740,0.71,Super Ideal,F,VS2,1042
740,0.71,Super Ideal,F,VS2,1042
740,0.71,Super Ideal,G,VS1,1042
740,0.77,Super Ideal,G,VS2,961
740,0.74,Super Ideal,H,VVS2,1000
740,0.77,Super Ideal,G,VS2,961
740,0.7,Super Ideal,G,VVS2,1057
740,0.71,Super Ideal,F,VS2,1042
740,0.71,Super Ideal,G,VS1,1042
740,0.71,Super Ideal,F,VS2,1042
740,0.77,Super Ideal,G,VS2,961
750,0.72,Super Ideal,G,VS1,1041
750,0.81,Super Ideal,H,VS2,925
750,0.72,Super Ideal,F,VS2,1041
750,0.73,Super Ideal,F,VS2,1027
750,0.72,Super Ideal,F,VS2,1041
750,0.78,Super Ideal,G,VS2,961
750,0.77,Very Good,G,VS2,974
760,0.73,Super Ideal,G,VS1,1041
760,0.79,Super Ideal,G,VS2,962
760,0.77,Very Good,H,VVS2,987
760,0.82,Super Ideal,G,SI1,926
760,0.73,Super Ideal,F,VS2,1041
760,0.79,Super Ideal,G,VS2,962
760,0.8,Ideal,F,SI1,950
760,0.7,Super Ideal,E,VS2,1085
760,0.73,Super Ideal,G,VS1,1041
760,0.7,Super Ideal,E,VS2,1085
760,0.73,Super Ideal,F,VS2,1041
760,0.79,Super Ideal,G,VS2,962
760,0.78,Very Good,G,VS2,974
760,0.78,Very Good,G,VS2,974
760,0.86,Very Good,J,VS2,883
760,0.73,Super Ideal,F,VS2,1041
760,0.73,Super Ideal,G,VS1,1041
760,0.79,Super Ideal,G,VS2,962
760,0.79,Super Ideal,G,VS2,962
770,0.71,Super Ideal,E,VS2,1084
770,0.74,Super Ideal,F,VS2,1040
770,0.8,Super Ideal,E,SI1,962
770,0.8,Super Ideal,G,VS2,962
770,0.72,Super Ideal,G,VVS2,1069
770,0.83,Super Ideal,H,VS2,927
770,0.81,Super Ideal,H,VS1,950
770,0.71,Super Ideal,E,VS2,1084
770,0.74,Super Ideal,F,VS2,1040
770,0.74,Super Ideal,F,VS2,1040
770,0.74,Super Ideal,F,VS2,1040
770,0.74,Super Ideal,G,VS1,1040
770,0.83,Super Ideal,G,SI1,927
770,0.8,Super Ideal,G,VS2,962
770,0.8,Super Ideal,G,VS2,962
770,0.83,Very Good,H,VS2,927
770,0.71,Super Ideal,E,VS2,1084
770,0.77,Super Ideal,H,VVS2,1000
770,0.8,Super Ideal,G,VS2,962
780,0.84,Super Ideal,H,VS2,928
780,0.84,Super Ideal,H,VS2,928
780,0.76,Super Ideal,F,VS2,1026
780,0.72,Very Good,E,VS2,1083
780,0.81,Super Ideal,G,VS2,962
780,0.75,Super Ideal,F,VS2,1040
780,0.75,Super Ideal,F,VS2,1040
780,0.75,Super Ideal,G,VS1,1040
780,0.75,Super Ideal,F,VS2,1040
780,0.75,Super Ideal,G,VS1,1040
780,0.81,Super Ideal,G,VS2,962
780,0.82,Super Ideal,H,VS1,951
780,0.82,Ideal,H,VS1,951
780,0.72,Super Ideal,E,VS2,1083
780,0.72,Super Ideal,E,VS2,1083
780,0.7,Very Good,F,VS1,1114
780,0.81,Super Ideal,G,VS2,962
780,0.81,Super Ideal,G,VS2,962
780,0.72,Very Good,E,VS2,1083
780,0.7,Super Ideal,F,VS1,1114
780,0.7,Ideal,F,VS1,1114
790,0.87,Super Ideal,H,SI1,908
790,0.73,Super Ideal,E,VS2,1082
790,0.76,Super Ideal,F,VS2,1039
790,0.76,Super Ideal,F,VS2,1039
790,0.73,Super Ideal,E,VS2,1082
790,0.82,Super Ideal,G,VS2,963
790,0.7,Super Ideal,F,VS1,1128
790,0.7,Super Ideal,F,VS1,1128
790,0.71,Ideal,F,VS1,1112
790,0.7,Super Ideal,F,VS1,1128
790,0.76,Super Ideal,F,VS2,1039
790,0.82,Super Ideal,G,VS2,963
790,0.73,Super Ideal,E,VS2,1082
790,0.7,Super Ideal,F,VS1,1128
790,0.83,Super Ideal,F,SI1,951
790,0.83,Super Ideal,F,SI1,951
790,0.82,Super Ideal,G,VS2,963
790,0.83,Super Ideal,H,VS1,951
790,0.86,Very Good,H,VS2,918
790,0.7,Super Ideal,F,VS1,1128
790,0.76,Super Ideal,G,VS1,1039
790,0.76,Super Ideal,G,VS1,1039
800,0.77,Super Ideal,F,VS2,1038
800,0.77,Super Ideal,F,VS2,1038
800,0.84,Super Ideal,F,SI1,952
800,0.77,Super Ideal,F,VS2,1038
800,0.71,Super Ideal,F,VS1,1126
820,0.79,Super Ideal,G,VS1,1037
820,0.79,Super Ideal,F,VS2,1037
820,0.89,Very Good,H,VS2,921
820,0.76,Ideal,E,VS2,1078
820,0.75,Good,E,VS2,1093
820,0.79,Super Ideal,F,VS2,1037
820,0.72,Super Ideal,F,VVS2,1138
820,0.79,Super Ideal,G,VS1,1037
820,0.79,Super Ideal,G,VS1,1037
820,0.86,Ideal,G,VS2,953
820,0.73,Super Ideal,F,VS1,1123
820,0.75,Super Ideal,G,VVS2,1093
820,0.77,Super Ideal,G,VVS2,1064
820,0.79,Ideal,G,VS1,1037
830,0.8,Super Ideal,G,VS1,1037
830,0.87,Super Ideal,H,VS1,954
830,0.78,Very Good,F,VS2,1064
830,0.78,Very Good,F,VS2,1064
830,0.88,Super Ideal,F,SI1,943
830,0.77,Ideal,E,VS2,1077
830,0.7,Super Ideal,E,VS1,1185
830,0.7,Super Ideal,E,VS1,1185
830,0.87,Super Ideal,E,SI1,954
830,0.87,Super Ideal,G,VS2,954
830,0.74,Super Ideal,F,VS1,1121
830,0.74,Super Ideal,F,VS1,1121
830,0.7,Ideal,E,VVS2,1185
830,0.73,Super Ideal,F,VVS2,1136
830,0.7,Very Good,E,VS1,1185
830,0.78,Very Good,G,VVS2,1064
830,0.78,Very Good,G,VVS2,1064
830,0.78,Very Good,F,VS2,1064
830,0.78,Very Good,F,VS2,1064
830,0.74,Super Ideal,F,VS1,1121
830,0.78,Very Good,G,VVS2,1064
830,0.8,Super Ideal,G,VS1,1037
830,0.8,Super Ideal,G,VS1,1037
830,0.87,Super Ideal,G,VS2,954
830,0.77,Super Ideal,E,VS2,1077
830,0.7,Super Ideal,E,VS1,1185
830,0.7,Super Ideal,E,VS1,1185
830,0.7,Super Ideal,E,VVS2,1185
830,0.74,Super Ideal,F,VS1,1121
830,0.78,Very Good,G,VVS2,1064
830,0.8,Super Ideal,F,VS2,1037
830,0.87,Super Ideal,G,VS2,954
830,0.78,Very Good,F,VS2,1064
830,0.88,Super Ideal,F,SI1,943
830,0.8,Super Ideal,F,VS2,1037
830,0.8,Super Ideal,F,VS2,1037
830,0.87,Super Ideal,G,VS2,954
830,0.87,Super Ideal,G,VS2,954
830,0.71,Ideal,E,VS1,1169
840,0.73,Ideal,E,VS2,1150
840,0.7,Very Good,E,VVS2,1200
840,0.75,Super Ideal,F,VS1,1120
840,0.79,Super Ideal,G,VVS2,1063
840,0.71,Super Ideal,E,VS1,1183
840,0.71,Super Ideal,E,VS1,1183
840,0.78,Super Ideal,E,VS2,1076
840,0.78,Super Ideal,E,VS2,1076
840,0.75,Super Ideal,F,VS1,1120
840,0.75,Super Ideal,F,VS1,1120
840,0.75,Super Ideal,F,VS1,1120
840,0.81,Super Ideal,F,VS2,1037
840,0.81,Super Ideal,G,VS1,1037
840,0.88,Super Ideal,G,VS2,954
840,0.88,Super Ideal,E,SI1,954
840,0.75,Super Ideal,F,VS1,1120
840,0.79,Super Ideal,G,VVS2,1063
840,0.72,Super Ideal,E,VS1,1166
840,0.71,Super Ideal,E,VS1,1183
840,0.71,Super Ideal,E,VS1,1183
840,0.71,Super Ideal,E,VS1,1183
840,0.75,Super Ideal,F,VS1,1120
840,0.75,Super Ideal,F,VS1,1120
840,0.75,Super Ideal,F,VS1,1120
840,0.7,Super Ideal,F,VVS2,1200
840,0.79,Super Ideal,G,VVS2,1063
840,0.89,Super Ideal,F,SI1,943
840,0.81,Super Ideal,F,VS2,1037
840,0.88,Super Ideal,G,VS2,954
